Time, x, y, z,,,,,,,,,,,
8.551336784,0.459,-13.024,-5.056,195.398393,4.178497523,STABLE,,,,,,,,
8.617464848,0.459,-13.024,-5.056,195.398393,4.178497523,STABLE,,,,,,,,
8.643210001,1.992,-14.25,-11.492,339.096628,8.614576509,CHANGE,,,,,,,,
8.672569818,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.694609709,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.725309916,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.751148767,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.790846901,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.815531807,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.857313948,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.888337927,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.92409976,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.949525909,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
8.982920723,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
9.022817926,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
9.067460852,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
9.093416767,1.992,-14.25,-11.492,339.096628,8.614576509,STABLE,,,,,,,,
9.175968723,-0.612,-10.113,-0.153,102.670722,0.332656216,CHANGE,,,,,,,,
9.191508846,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.219873743,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.243988829,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.274495916,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.286151724,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.295738773,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.318311768,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.344627933,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.369878845,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.392408924,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.420729952,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.446283894,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.471815901,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.496861773,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.517460899,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.535634832,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.559740858,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.586542921,-0.612,-10.113,-0.153,102.670722,0.332656216,STABLE,,,,,,,,
9.613724785,-4.443,-5.209,0.919,47.718491,-2.892142807,CHANGE,,,,,,,,
